"EventID","SeineLength","SeineWidth","SeineDepth","SeineVolume","TrapStatus","TrapHours"
75,15,8,0.3,36,NA,NA
76,15,15,NA,NA,NA,NA
77,36,4,0.2,28.80000114,NA,NA
2191,15,15,0.1,22.5,NA,NA
2192,15,15,0.1,22.5,NA,NA
2193,15,15,0.4,90,NA,NA
2194,30.5,30.5,0.5,465.125,NA,NA
2018,30,6,0.7,126,NA,NA
2019,30,6,0.6,108.0000076,NA,NA
2020,30,6,0.7,126,NA,NA
1220,5.5,15,1.1,90.75,NA,NA
1221,10,7,1.2,84,NA,NA
168,15,15,0.5,112.5,NA,NA
2195,15,15,1.1,247.5,NA,NA
1222,7,10,0.7,49,NA,NA
1223,5,2,0.7,7,NA,NA
169,15,15,1,225,NA,NA
2196,15,15,1.1,247.5,NA,NA
170,5,5,1.1,27.5,NA,NA
171,5,5,1,25,NA,NA
1224,10,5,1.1,55,NA,NA
2197,15,15,1.1,247.5,NA,NA
1225,7,15,1.2,126.0000076,NA,NA
172,15,15,0.8,180,NA,NA
2198,15,15,1,225,NA,NA
1226,10,10,1.2,120.0000076,NA,NA
173,15,12,1,180,NA,NA
174,11,15,1.1,181.5,NA,NA
1227,15,10,1.1,165,NA,NA
2199,15,15,0.7,157.5,NA,NA
1228,8,3,1,24,NA,NA
2200,15,15,0.9,202.5,NA,NA
175,7,15,1.2,126.0000076,NA,NA
1229,11,6,1,66,NA,NA
2201,15,15,1.1,247.5,NA,NA
176,15,8,0.9,108,NA,NA
2202,15,15,1.2,270,NA,NA
177,15,7,0.9,94.5,NA,NA
178,4,11,0.5,22,NA,NA
78,12,12,0.7,100.7999954,NA,NA
2203,6,3,0.4,7.200000286,NA,NA
2204,NA,NA,NA,NA,NA,NA
1230,15,11,1,165,NA,NA
269,15,13,1.2,234.0000153,NA,NA
2205,10,6,0.5,30,NA,NA
270,15,10,1.1,165,NA,NA
79,9,4,1.1,39.60000229,NA,NA
1231,15,4,1,60,NA,NA
179,15,10,0.5,75,NA,NA
2206,NA,NA,0.9,NA,NA,NA
1232,15,11,1,165,NA,NA
271,15,12,1.2,216.0000153,NA,NA
2207,5,6,1.1,33,NA,NA
80,14,11,1.2,184.8000031,NA,NA
180,6,7,0.9,37.79999924,NA,NA
1233,15,13,1.2,234.0000153,NA,NA
272,15,13,1.1,214.5,NA,NA
2208,10,10,0.7,70,NA,NA
81,15,11,1.2,198.0000153,NA,NA
181,9,7,1,63,NA,NA
1234,11,15,1,165,NA,NA
273,9,15,0.8,108,NA,NA
2209,15,11,0.7,115.5,NA,NA
2210,15,15,0.8,180,NA,NA
182,8,15,0.5,60,NA,NA
82,3,3,1,9,NA,NA
83,3,3,1,9,NA,NA
183,25,5,0.3,37.5,NA,NA
184,25,5,0.3,37.5,NA,NA
185,33,5,0.3,49.50000381,NA,NA
186,10,4,0.9,36,NA,NA
187,8,4,NA,NA,NA,NA
188,13,4,0.6,31.20000076,NA,NA
189,17,13,0.6,132.6000061,NA,NA
190,15,6,0.7,63,NA,NA
191,15,5,0.5,37.5,NA,NA
2211,9,5,0.2,9,NA,NA
2212,15,55,0.2,165,NA,NA
2213,15,3,1,45,NA,NA
2214,15,7,1,105,NA,NA
2215,15,7,1,105,NA,NA
2216,15,15,0.6,135,NA,NA
2217,15,15,0.5,112.5,NA,NA
2218,15,15,0.3,67.5,NA,NA
2219,15,15,0.4,90,NA,NA
84,15,15,0.7,157.5,NA,NA
85,15,15,0.6,135,NA,NA
86,9,14,0.4,50.40000153,NA,NA
2220,15,15,1,225,NA,NA
2221,15,15,0.9,202.5,NA,NA
2222,15,15,1.1,247.5,NA,NA
427,15,15,0.6,135,NA,NA
428,15,15,0.4,90,NA,NA
429,15,15,0.4,90,NA,NA
431,15,15,0.4,90,NA,NA
2223,30,30,1,900,NA,NA
2224,15,15,1,225,NA,NA
2225,15,15,1,225,NA,NA
192,15,12,0.6,108.0000076,NA,NA
2226,15,15,0.8,180,NA,NA
1235,15,2.5,0.9,33.75,NA,NA
2227,15,15,0.6,135,NA,NA
1236,15,5,1.2,90,NA,NA
193,15,13,1,195,NA,NA
1237,6,15,1.1,99,NA,NA
2228,15,15,0.9,202.5,NA,NA
194,15,15,1,225,NA,NA
1238,6,15,1,90,NA,NA
2229,15,15,0.3,67.5,NA,NA
195,15,15,1.1,247.5,NA,NA
1239,5,15,0.4,30,NA,NA
2230,15,15,0.8,180,NA,NA
196,15,15,0.5,112.5,NA,NA
1240,20,4,0.7,56,NA,NA
2231,15,15,1,225,NA,NA
197,15,4,1,60,NA,NA
1241,15,4,0.8,48,NA,NA
2232,15,7,1,105,NA,NA
198,15,10,1,150,NA,NA
1242,15,5,0.8,60,NA,NA
2233,15,15,1.1,247.5,NA,NA
199,15,11,1.1,181.5,NA,NA
1243,23,4,1,92,NA,NA
2234,15,15,1,225,NA,NA
200,15,9,0.8,108,NA,NA
1244,15,5,0.7,52.5,NA,NA
2235,15,15,1.1,247.5,NA,NA
201,15,2,1,30,NA,NA
547,14,4,0.6,33.60000229,NA,NA
2236,15,4,1.1,66,NA,NA
202,50,30,0.8,1200,NA,NA
1245,15,6,0.9,81,NA,NA
2237,15.2,15.2,1.1,254.1439972,NA,NA
203,15,15,0.5,112.5,NA,NA
274,15,3,0.5,22.5,NA,NA
2238,15,15,1,225,NA,NA
204,15,15,0.6,135,NA,NA
1246,6,12.19,0.5,36.56999969,NA,NA
2239,15,15,0.5,112.5,NA,NA
205,19,15,0.4,114,NA,NA
1247,10.8,2,1.1,23.76000023,NA,NA
2240,15,15,0.5,112.5,NA,NA
206,15,3,0.7,31.5,NA,NA
207,15,5,0.8,60,NA,NA
2241,15,15,1,225,NA,NA
1248,15,3,0.9,40.5,NA,NA
1249,10,4,1.1,44,NA,NA
2242,15,15,0.9,202.5,NA,NA
208,15,8,0.6,72,NA,NA
1250,15,6,0.8,72,NA,NA
2243,15,15,0.6,135,NA,NA
209,15,7,0.9,94.5,NA,NA
1251,15,3,0.7,31.5,NA,NA
2244,15,15,0.8,180,NA,NA
210,5,15,0.6,45,NA,NA
211,15,7,0.8,84,NA,NA
2245,15,15,0.8,180,NA,NA
1252,15,7,0.8,84,NA,NA
1253,15,3.6,0.9,48.59999847,NA,NA
2246,15,15,0.5,112.5,NA,NA
212,15,5.4,0.8,64.80000305,NA,NA
1254,15,10,0.6,90,NA,NA
275,15,15,0.8,180,NA,NA
213,15,10,0.8,120,NA,NA
87,6,8,0.7,33.59999847,NA,NA
2247,15,10,0.7,105,NA,NA
214,15,15,0.5,112.5,NA,NA
1255,14,2,1,28,NA,NA
276,7,1,0.7,4.900000095,NA,NA
2248,15,15,1,225,NA,NA
1256,18,5,0.5,45,NA,NA
2249,15,15,1,225,NA,NA
215,15,15,0.6,135,NA,NA
216,15,15,0.3,67.5,NA,NA
217,15,5,0.7,52.5,NA,NA
2250,15,15,0.6,135,NA,NA
1257,15,5,0.9,67.5,NA,NA
1258,15,6,0.8,72,NA,NA
2251,15,15,0.4,90,NA,NA
218,15,4,0.8,48,NA,NA
1259,12,2.5,1,30,NA,NA
2252,15,15,0.5,112.5,NA,NA
219,15,3.5,0.9,47.25,NA,NA
1260,15,5.5,0.5,41.25,NA,NA
2253,15,15,0.5,112.5,NA,NA
220,15,3.5,0.7,36.75,NA,NA
1261,15,6.3,0.4,37.79999924,NA,NA
2254,15,15,0.4,90,NA,NA
221,15,4.2,0.7,44.09999847,NA,NA
1774,15,8,0.8,96,NA,NA
2255,15,15,0.9,202.5,NA,NA
222,5,3,0.7,10.5,NA,NA
1262,3,5,0.5,7.5,NA,NA
2256,15,15,0.4,90,NA,NA
223,5,12,0.8,48,NA,NA
1263,15,5,0.05,3.75,NA,NA
2257,15,7,0.6,63.00000381,NA,NA
224,3.5,5,0.8,14,NA,NA
1264,10,2,0.9,18,NA,NA
225,8,4,0.8,25.60000038,NA,NA
2258,13,7,0.7,63.70000076,NA,NA
226,12,5,0.07,4.199999809,NA,NA
1265,10,1.5,1,15,NA,NA
227,12,5,0.7,42,NA,NA
1266,13,2,0.3,7.800000191,NA,NA
277,13,7,0.7,63.70000076,NA,NA
1267,15,3,0.4,18,NA,NA
228,8,3,0.3,7.200000286,NA,NA
229,11,10,0.3,33,NA,NA
1268,6,3,1,18,NA,NA
88,13,4,0.8,41.60000229,NA,NA
230,13,14,0.6,109.2000046,NA,NA
1791,13,5,1,65,NA,NA
1269,13,3,0.5,19.5,NA,NA
2259,13,8,0.8,83.20000458,NA,NA
89,6,2,0.3,3.600000143,NA,NA
231,19,13,0.6,148.2000122,NA,NA
90,20,10,0.3,60.00000381,NA,NA
232,14,10,0.3,42,NA,NA
1270,15,6,0.8,72,NA,NA
91,10,5,0.4,20,NA,NA
233,10,10,0.5,50,NA,NA
92,13,2,0.6,15.60000038,NA,NA
234,15,15,0.8,180,NA,NA
1272,15,5,0.6,45,NA,NA
93,13,2,0.8,20.80000114,NA,NA
235,13,0.5,1.1,7.150000095,NA,NA
1273,13,1.5,0.9,17.54999924,NA,NA
94,6,1,0.5,3,NA,NA
236,9,5,0.4,18,NA,NA
237,10,5,1,50,NA,NA
95,12,13,0.7,109.1999969,NA,NA
238,7,5,1.2,42,NA,NA
96,2,6,1.1,13.20000076,NA,NA
1861,3,10,1.2,36,NA,NA
239,9,10,0.7,63,NA,NA
97,6,4,0.7,16.79999924,NA,NA
278,10,3,3.2,96,NA,NA
1871,8,10,1.2,96,NA,NA
1872,18,5,1.3,116.9999924,NA,NA
279,14,4,1.1,61.60000229,NA,NA
240,5,7,1,35,NA,NA
98,5,5,1.1,27.5,NA,NA
241,5,5,1.2,30.00000191,NA,NA
99,5,2,0.3,3,NA,NA
1885,15,3,1,45,NA,NA
280,5,2,1,10,NA,NA
1893,20,2.5,1,50,NA,NA
281,10,2,1,20,NA,NA
242,4,5,1.2,24,NA,NA
100,10,2,1,20,NA,NA
1901,15,2.5,1,37.5,NA,NA
282,15,1,0.2,3,NA,NA
243,4,4,1.2,19.20000076,NA,NA
101,4,2.5,1,10,NA,NA
1907,12,2,1,24,NA,NA
283,10,2,0.8,16,NA,NA
244,3.5,3.5,1.2,14.70000076,NA,NA
102,5,2,1.2,12,NA,NA
245,3.5,3,1.2,12.60000038,NA,NA
103,5,2,1.2,12,NA,NA
284,6,1.2,1.2,8.640000343,NA,NA
1916,12,2,1,24,NA,NA
246,1,2,1.1,2.200000048,NA,NA
2260,20,15,1.1,330,NA,NA
1927,20,4,1,80,NA,NA
285,15,2,1,30,NA,NA
1928,20,4,1,80,NA,NA
286,10,2,0.8,16,NA,NA
2261,20,15,1.1,330,NA,NA
247,4,1,1,4,NA,NA
1929,20,2,1,40,NA,NA
287,15,2,0.7,21,NA,NA
2262,15,2,0.9,27,NA,NA
1930,20,1.5,1.2,36,NA,NA
288,15,1.5,1.1,24.75,NA,NA
2263,20,3,1.2,72,NA,NA
1931,20,2.5,1,50,NA,NA
289,15,1.5,1.2,27.00000191,NA,NA
2264,20,2,1,40,NA,NA
248,10,4,0.2,8,NA,NA
290,10,10,0.3,30.00000191,NA,NA
2265,20,1,1.3,26,NA,NA
249,6,6,0.2,7.200000286,NA,NA
2266,20,6,1.1,132,NA,NA
1949,20,2,1.1,44,NA,NA
291,13,1.5,0.8,15.60000038,NA,NA
1962,20,2,1.1,44,NA,NA
2267,20,5,1,100,NA,NA
250,8,1.5,1.3,15.59999943,NA,NA
2268,20,5,1.1,110,NA,NA
1979,20,3,1,60,NA,NA
1098,5,5,1,25,NA,NA
1102,5,5,1,25,NA,NA
2269,20,5,1.1,110,NA,NA
1987,20,2,1.1,44,NA,NA
251,5,10,1.5,75,NA,NA
292,10,8,1,80,NA,NA
1114,10,5,1.5,75,NA,NA
2270,20,3,1.1,66,NA,NA
2006,20,3,0.3,18,NA,NA
1127,6,5,0.9,27,NA,NA
2288,15,5,0.8,60,NA,NA
2289,15,3,0.8,36,NA,NA
2290,8,5,0.6,24,NA,NA
2292,7,3,0.7,14.69999981,NA,NA
2291,11,4,0.8,35.20000076,NA,NA
2293,6,3,0.6,10.80000019,NA,NA
2295,6,3,0.6,10.80000019,NA,NA
2294,9,2,0.5,9,NA,NA
2296,9,3,1,27,NA,NA
2297,8,4,0.6,19.20000076,NA,NA
2298,4,4,0.5,8,NA,NA
2299,13,3,0.6,23.40000153,NA,NA
2300,5,3,0.6,9,NA,NA
2301,5,3,0.6,9,NA,NA
2302,NA,NA,NA,NA,NA,NA
2303,8,6,0.5,24,NA,NA
2304,6,4,0.5,12,NA,NA
2305,9,6,0.6,32.40000153,NA,NA
2306,10,5,0.7,35,NA,NA
2308,16,3,0.7,33.59999847,NA,NA
2309,15,4,0.5,30,NA,NA
2310,15,10,0.4,60,NA,NA
2311,6,1.5,1,9,NA,NA
2312,10,6,0.5,30,NA,NA
2314,10,12,0.5,60,NA,NA
2313,9,2,0.4,7.200000286,NA,NA
2316,12,10,0.3,36,NA,NA
2315,15,2,0.3,9,NA,NA
2391,4,3,0.2,2.400000095,NA,NA
2366,7,8,0.4,22.39999962,NA,NA
2367,9,4,0.5,18,NA,NA
2368,15,5,0.6,45,NA,NA
2374,5,4,0.5,10,NA,NA
2390,8,3,0.4,9.600000381,NA,NA
2378,9,5,0.8,36,NA,NA
2379,22,6,0.7,92.40000153,NA,NA
2377,9,6,0.5,27,NA,NA
2376,15,5,0.5,37.5,NA,NA
2375,10,6,0.5,30,NA,NA
2380,12,4,0.3,14.40000057,NA,NA
2381,12,4,0.4,19.20000076,NA,NA
2384,12,6,0.3,21.60000038,NA,NA
2383,6,3,0.5,9,NA,NA
2382,8,5,0.6,24,NA,NA
2389,6,4,0.5,12,NA,NA
2388,6,2,0.4,4.800000191,NA,NA
2387,12,6,0.3,21.60000038,NA,NA
2386,12,3,0.4,14.40000057,NA,NA
2385,11,5,0.6,33,NA,NA
2411,20,4,0.6,48,NA,NA
2410,13,4,0.5,26,NA,NA
2409,5,4,0.5,10,NA,NA
2408,7,4,0.5,14,NA,NA
2412,5,4,0.6,12,NA,NA
2419,12,4,0.5,24,NA,NA
2418,16,4,0.7,44.79999924,NA,NA
2420,10,5,0.5,25,NA,NA
2422,12,4,0.3,14.40000057,NA,NA
2421,7,3,0.6,12.60000038,NA,NA
2423,20,4,0.7,56,NA,NA
2424,12,4,0.6,28.80000114,NA,NA
2427,15,6,0.6,54.00000381,NA,NA
2426,12,5,0.4,24,NA,NA
2425,8,4,0.6,19.20000076,NA,NA
2438,15,4,0.6,36,NA,NA
2437,12,4,0.8,38.40000153,NA,NA
2436,13,4,0.7,36.39999771,NA,NA
2435,15,4,0.5,30,NA,NA
2434,10,3,0.5,15,NA,NA
2439,12,4,0.8,38.40000153,NA,NA
2440,18,4,0.6,43.20000076,NA,NA
2442,6,5,0.8,24,NA,NA
2443,4,2,0.5,4,NA,NA
2441,12,10,0.6,72,NA,NA
2445,21,4,0.8,67.20000458,NA,NA
2444,18,5,0.8,72,NA,NA
2447,24,4,0.7,67.19999695,NA,NA
2446,18,5,0.7,63,NA,NA
2448,6,5,0.5,15,NA,NA
960,6,2,0.5,6,NA,NA
959,7,5,0.6,21,NA,NA
975,12,7,0.8,67.20000458,NA,NA
976,4,3,0.2,2.400000095,NA,NA
2456,5,4,0.6,12,NA,NA
2459,4,4,0.5,8,NA,NA
2467,11,3,0.5,16.5,NA,NA
2466,5,4,0.4,8,NA,NA
2472,12,10,0.5,60,NA,NA
2471,4,2,0.7,5.599999905,NA,NA
2484,15,10,0.8,120,NA,NA
2485,6,4,0.4,9.600000381,NA,NA
2562,35,3,1,105,NA,NA
3914,40,3,1,120,NA,NA
2581,40,3,1,120,NA,NA
2582,50,3,1,150,NA,NA
2589,40,3,1,120,NA,NA
2590,45,3,0.5,67.5,NA,NA
2606,40,3,0.5,60,NA,NA
2607,45,4,1,180,NA,NA
2628,40,3,0.5,60,NA,NA
2629,50,3,0.5,75,NA,NA
2633,40,3,0.5,60,NA,NA
2632,50,3,0.5,75,NA,NA
2648,35,3,1,105,NA,NA
2649,50,4,0.5,100,NA,NA
2680,27,0.75,1,20.25,NA,NA
2679,30,2,1,60,NA,NA
2681,40,2,1,80,NA,NA
2678,27,3,1,81,NA,NA
2677,40,3,1.5,180,NA,NA
2676,NA,NA,NA,NA,NA,NA
2684,30,2.5,2,150,NA,NA
2685,30,2,0.5,30,NA,NA
2686,20,2,1,40,NA,NA
2687,35,3,1.5,157.5,NA,NA
2689,30,13,1.5,585,NA,NA
2699,30,3,1,90,NA,NA
2698,25,3,1,75,NA,NA
2703,27,1.5,2,81,NA,NA
2702,35,3.5,1.5,183.75,NA,NA
2701,20,2,1.5,60,NA,NA
2700,30,1.5,1.1,49.5,NA,NA
