"EventID","StationCode","Datetime","SampleDate","WaterTemp","SpecificConductance","Conductivity","Turbidity","DO","pH","Secchi","Tide","WeatherCode","VegetationRank","SubstrateCode","HabitatType","MicrocystisRank","MethodCode","GearCode","GearConditionCode","SampleAltered","FieldComments","Flag_WQ","Comment_WQ"
45,"AL1",1998-02-04 15:30:00,1998-02-04,11.67,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1187,"BL4",1998-02-05 11:25:00,1998-02-05,10.56,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"AVG","NV",NA,"BSEIN","SEIN50",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2068,"YB",1998-02-05 12:00:00,1998-02-05,11.11,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,NA,NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
311,"PCS",1998-02-05 12:30:00,1998-02-05,10.56,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"AVG",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1188,"BL4",1998-02-10 09:55:00,1998-02-10,10,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1189,"BL4",1998-02-10 11:30:00,1998-02-10,10,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2075,"YB",1998-02-11 14:30:00,1998-02-11,9.44,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"PAV",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1132,"SB1",1998-02-13 16:05:00,1998-02-13,11.11,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"SND",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1190,"BL4",1998-02-18 14:22:00,1998-02-18,NA,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1191,"BL4",1998-02-18 15:15:00,1998-02-18,NA,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2090,"YB",1998-02-20 12:32:00,1998-02-20,12.22,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,NA,NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2091,"YB",1998-02-20 14:04:00,1998-02-20,9.44,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"PAV",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2093,"YB",1998-02-23 14:00:00,1998-02-23,10,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"PAV",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1133,"SB1",1998-02-24 10:06:00,1998-02-24,9.44,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2096,"YB",1998-02-24 14:45:00,1998-02-24,11.67,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"PAV",NA,NA,"BSEIN","SEIN50",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
109,"FW1",1998-02-25 12:24:00,1998-02-25,10,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"GRV",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
46,"AL1",1998-02-25 13:26:00,1998-02-25,10.56,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"MUD","RIP",NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1134,"SB1",1998-02-25 14:14:00,1998-02-25,12.22,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"SND",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
47,"AL1",1998-03-02 11:25:00,1998-03-02,15.56,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2098,"YB",1998-03-03 11:40:00,1998-03-03,13.33,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"GRV",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1192,"BL4",1998-03-03 11:45:00,1998-03-03,13.33,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"AVG",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1193,"BL4",1998-03-03 11:48:00,1998-03-03,13.33,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"AVG",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
323,"LIS",1998-03-03 12:55:00,1998-03-03,13.33,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
324,"BL1",1998-03-03 13:05:00,1998-03-03,13.33,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,NA,NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
48,"AL1",1998-03-03 13:50:00,1998-03-03,12.22,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2106,"YB",1998-03-04 13:48:00,1998-03-04,12.22,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"PAV",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2107,"YB",1998-03-04 14:50:00,1998-03-04,12.22,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2108,"YB",1998-03-05 11:00:00,1998-03-05,11.11,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2109,"YB",1998-03-05 11:35:00,1998-03-05,11.11,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"MUD",NA,NA,"BSEIN","SEIN50",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
325,"AL1",1998-03-05 11:50:00,1998-03-05,11.11,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"MUD",NA,NA,"BSEIN","SEIN50",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
326,"LIS",1998-03-05 13:06:00,1998-03-05,11.67,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1135,"SB1",1998-03-06 12:10:00,1998-03-06,10.56,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1194,"BL4",1998-03-06 13:30:00,1998-03-06,11.67,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
49,"AL1",1998-03-09 09:25:00,1998-03-09,10,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1136,"SB1",1998-03-09 10:35:00,1998-03-09,11.11,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1137,"SB1",1998-03-09 11:45:00,1998-03-09,12.22,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2110,"YB",1998-03-09 13:28:00,1998-03-09,17.22,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2111,"YB",1998-03-09 13:40:00,1998-03-09,17.22,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
328,"LIS",1998-03-10 13:00:00,1998-03-10,15,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
110,"FW1",1998-03-13 10:00:00,1998-03-13,15,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"PAV",NA,NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
111,"FW1",1998-03-13 10:10:00,1998-03-13,15,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"PAV",NA,NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
112,"FW1",1998-03-13 10:15:00,1998-03-13,15,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"PAV",NA,NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
113,"FW1",1998-03-13 10:37:00,1998-03-13,15,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"PAV",NA,NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
114,"FW1",1998-03-13 10:52:00,1998-03-13,15,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"PAV",NA,NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
115,"FW1",1998-03-13 11:10:00,1998-03-13,15,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"PAV",NA,NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
116,"FW1",1998-03-13 11:25:00,1998-03-13,15,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"PAV",NA,NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
117,"FW1",1998-03-13 12:41:00,1998-03-13,12.78,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"PAV",NA,NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
118,"FW1",1998-03-13 13:15:00,1998-03-13,12.78,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"PAV",NA,NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1138,"SB1",1998-03-16 11:30:00,1998-03-16,16.11,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"MUD",NA,NA,"BSEIN","SEINCOVE",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1139,"SB1",1998-03-16 11:35:00,1998-03-16,16.11,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"MUD",NA,NA,"BSEIN","SEINCOVE",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1140,"SB1",1998-03-16 11:45:00,1998-03-16,16.11,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEINCOVE",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1141,"SB1",1998-03-16 13:45:00,1998-03-16,22.22,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1142,"SB1",1998-03-16 13:55:00,1998-03-16,22.22,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1143,"SB1",1998-03-16 14:05:00,1998-03-16,22.22,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1144,"SB1",1998-03-16 14:50:00,1998-03-16,NA,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",2,NA,"","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
119,"FW1",1998-03-17 10:25:00,1998-03-17,16.11,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"MUD",NA,NA,"BSEIN","SEIN50",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
120,"FW1",1998-03-17 10:40:00,1998-03-17,16.11,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
121,"FW1",1998-03-17 10:55:00,1998-03-17,15,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"MUD",NA,NA,"BSEIN","SEIN50",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
122,"FW1",1998-03-17 11:10:00,1998-03-17,15.56,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEINCOVE",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
123,"FW1",1998-03-17 12:25:00,1998-03-17,NA,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"AVG",NA,NA,"BSEIN","SEINCOVE",2,NA,"","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
124,"FW1",1998-03-17 12:35:00,1998-03-17,16.11,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"AVG",NA,NA,"BSEIN","SEINENCL",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
125,"FW1",1998-03-17 12:40:00,1998-03-17,16.11,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"AVG",NA,NA,"BSEIN","SEINENCL",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
126,"FW1",1998-03-17 12:45:00,1998-03-17,16.11,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"AVG",NA,NA,"BSEIN","SEINENCL",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
127,"FW1",1998-03-17 13:05:00,1998-03-17,16.11,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"AVG",NA,NA,"BSEIN","SEIN50",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2114,"YB",1998-03-18 13:50:00,1998-03-18,18.33,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2115,"YB",1998-03-18 14:30:00,1998-03-18,19.44,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEINENCL",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
50,"AL1",1998-03-19 10:15:00,1998-03-19,17.22,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD","NV",NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
51,"AL1",1998-03-19 10:25:00,1998-03-19,17.22,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD","NV",NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
52,"AL1",1998-03-19 11:15:00,1998-03-19,15.56,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEINENCL",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
53,"AL1",1998-03-19 11:20:00,1998-03-19,15.56,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEINENCL",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
54,"AL1",1998-03-19 11:30:00,1998-03-19,15.56,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEINENCL",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
55,"AL1",1998-03-19 11:40:00,1998-03-19,18.33,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1195,"BL4",1998-03-19 12:25:00,1998-03-19,17.22,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
56,"AL1",1998-03-19 12:55:00,1998-03-19,17.78,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
57,"AL1",1998-03-19 13:05:00,1998-03-19,17.78,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
58,"AL1",1998-03-19 13:16:00,1998-03-19,17.78,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
59,"AL1",1998-03-19 13:30:00,1998-03-19,17.78,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
329,"BL2",1998-03-19 13:35:00,1998-03-19,17.22,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
330,"LIS",1998-03-19 14:06:00,1998-03-19,20,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2118,"YB",1998-03-20 10:03:00,1998-03-20,15.56,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"MUD",NA,NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2119,"YB",1998-03-20 10:18:00,1998-03-20,15.56,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2120,"YB",1998-03-20 11:06:00,1998-03-20,17.22,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2121,"YB",1998-03-20 11:15:00,1998-03-20,17.22,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEINENCL",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2122,"YB",1998-03-20 11:35:00,1998-03-20,18.89,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1145,"SB1",1998-03-20 13:00:00,1998-03-20,18.33,NA,NA,NA,NA,NA,0.6,NA,"CLR",NA,"PAV",NA,NA,"BSEIN","SEINCOVE",2,NA,"","1,NA,NA,NA,NA,NA,3","NA,NA,NA,NA,NA,NA,Secchi"
1146,"SB1",1998-03-20 14:10:00,1998-03-20,18.33,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"PAV",NA,NA,"BSEIN","SEINCOVE",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1196,"BL4",1998-03-23 10:38:00,1998-03-23,16.67,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1197,"BL4",1998-03-23 11:11:00,1998-03-23,17.78,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"MUD",NA,NA,"BSEIN","SEIN50",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1198,"BL4",1998-03-23 11:24:00,1998-03-23,17.78,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"MUD",NA,NA,"BSEIN","SEIN50",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1199,"BL4",1998-03-23 11:45:00,1998-03-23,17.78,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"AVG",NA,NA,"BSEIN","SEIN50",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1200,"BL4",1998-03-23 12:10:00,1998-03-23,NA,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
128,"FW1",1998-03-24 10:30:00,1998-03-24,17.78,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"GRV",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
